start_date,start_time,finish_date,finish_time,name,likehood,mentioned,interaction,cheer_card
20180215,23:41:18.514755,20180215,23:41:20.655086,蔡徐坤,22406000,1558290,430416,2041746
20180215,23:41:18.514755,20180215,23:41:20.655086,jjjustin0219,8125000,546374,230817,734745
20180215,23:41:18.514755,20180215,23:41:20.655086,超级農農,6991000,386000,128038,647709
20180215,23:41:18.514755,20180215,23:41:20.655086,Adam0616,4497000,332663,82190,408249
20180215,23:41:18.514755,20180215,23:41:20.655086,Zzt-朱正廷,4477000,326025,93101,405774
20180215,23:41:18.514755,20180215,23:41:20.655086,小鬼-王琳凯,1788000,112174,22149,165390
20180215,23:41:18.514755,20180215,23:41:20.655086,卜凡KATTO,1689000,97585,28221,156344
20180215,23:41:18.514755,20180215,23:41:20.655086,灵超DIDI,1674000,140822,39201,149422
20180215,23:41:18.514755,20180215,23:41:20.655086,木子洋KWIN,1587000,195817,49476,134178
20180215,23:41:18.514755,20180215,23:41:20.655086,岳岳PINKRAY,1578000,194694,45994,133752
20180215,23:41:18.514755,20180215,23:41:20.655086,韩沐伯,1568000,100247,51739,141619
20180215,23:41:18.514755,20180215,23:41:20.655086,BBT王子异,860000,100128,11526,74824
20180215,23:41:18.514755,20180215,23:41:20.655086,李希侃_LXK,601000,52789,22843,52580
20180215,23:41:18.514755,20180215,23:41:20.655086,钱正昊,549000,32569,10268,50639
20180215,23:41:18.514755,20180215,23:41:20.655086,Jeffrey董又霖,457000,23385,5063,42862
20180215,23:41:18.514755,20180215,23:41:20.655086,郑锐彬_,447000,29086,5326,41294
20180215,23:41:18.514755,20180215,23:41:20.655086,Trainee18-尤长靖,435000,24440,3085,40777
20180215,23:41:18.514755,20180215,23:41:20.655086,Lee权哲,420000,32179,8163,37975
20180215,23:41:18.514755,20180215,23:41:20.655086,Trainee18-林彦俊,399000,36216,14805,34843
20180215,23:41:18.514755,20180215,23:41:20.655086,Trainee18-林超泽,374000,26023,13734,33417
20180215,23:41:18.514755,20180215,23:41:20.655086,Bin于斌,327000,57886,16433,25286
20180215,23:41:18.514755,20180215,23:41:20.655086,史迪奇他哥何东东,319000,17182,2993,29931
20180215,23:41:18.514755,20180215,23:41:20.655086,朱星杰J_zen,254000,18860,4142,23146
20180215,23:41:18.514755,20180215,23:41:20.655086,秦奋Roi,236000,19647,4533,21142
20180215,23:41:18.514755,20180215,23:41:20.655086,周彦辰,231000,20092,10310,20010
20180215,23:41:18.514755,20180215,23:41:20.655086,Dzr_丁泽仁,204000,25808,8121,17018
20180215,23:41:18.514755,20180215,23:41:20.655086,Biiiii毕雯珺,180000,19119,5374,15510
20180215,23:41:18.514755,20180215,23:41:20.655086,李长庚是我呀,167000,13162,4495,14901
20180215,23:41:18.514755,20180215,23:41:20.655086,COSMOS-陈斯琪,143000,8161,2563,13240
20180215,23:41:18.514755,20180215,23:41:20.655086,罗正_LZ,138000,22426,6132,10951
20180215,23:41:18.514755,20180215,23:41:20.655086,胡致邦Jack,133000,13067,5122,11518
20180215,23:41:18.514755,20180215,23:41:20.655086,MLody姜达赫,127000,11389,6184,10922
20180215,23:41:18.514755,20180215,23:41:20.655086,伽里Curry,124000,4885,58,11942
20180215,23:41:18.514755,20180215,23:41:20.655086,董岩磊,115000,14478,2308,9853
20180215,23:41:18.514755,20180215,23:41:20.655086,许凯皓lockingjack,106000,7358,2430,9670
20180215,23:41:18.514755,20180215,23:41:20.655086,MONKEY_OFFICIAL,92090000,11168,4321,7661
20180215,23:41:18.514755,20180215,23:41:20.655086,COSMOS-徐鹤尼,83370000,5779,2394,7520
20180215,23:41:18.514755,20180215,23:41:20.655086,杨非同Nemo,76500000,5541,1055,6991
20180215,23:41:18.514755,20180215,23:41:20.655086,Trainee18-姜京佐,73770000,11308,3947,5852
20180215,23:41:18.514755,20180215,23:41:20.655086,韩雍杰辅导员,72220000,9291,3994,5894
20180215,23:41:18.514755,20180215,23:41:20.655086,周锐Zee,71370000,6022,1006,6435
20180215,23:41:18.514755,20180215,23:41:20.655086,左叶Hyman,67750000,5845,2114,5980
20180215,23:41:18.514755,20180215,23:41:20.655086,靖佩瑶,67380000,4958,1132,6129
20180215,23:41:18.514755,20180215,23:41:20.655086,Zony_Kai张晏恺,65430000,7715,5482,5224
20180215,23:41:18.514755,20180215,23:41:20.655086,Trainee18-陆定昊,54820000,5395,778,4865
20180215,23:41:18.514755,20180215,23:41:20.655086,CATCHERS_朱匀天Z,40460000,3024,1455,3599
20180215,23:41:18.514755,20180215,23:41:20.655086,HashtagHhr,40200000,3001,862,3634
20180215,23:41:18.514755,20180215,23:41:20.655086,张达源Darrien,39500000,8215,6363,2493
20180215,23:41:18.514755,20180215,23:41:20.655086,CATCHERS_朱匀一,39290000,3166,1330,3480
20180215,23:41:18.514755,20180215,23:41:20.655086,秦子墨_Mo,37500000,2182,593,3473
20180215,23:41:18.514755,20180215,23:41:20.655086,CNK-武连杰,36180000,3924,941,3132
20180215,23:41:18.514755,20180215,23:41:20.655086,余明君_MJ,35810000,6002,2122,2769
20180215,23:41:18.514755,20180215,23:41:20.655086,Trainee18-李若天Kai,35680000,5400,3141,2714
20180215,23:41:18.514755,20180215,23:41:20.655086,李俊毅小毅xiah,35510000,2591,605,3232
20180215,23:41:18.514755,20180215,23:41:20.655086,邓烺怡_LY,35310000,6832,2336,2615
20180215,23:41:18.514755,20180215,23:41:20.655086,黄书豪-Mark,33080000,4258,455,2837
20180215,23:41:18.514755,20180215,23:41:20.655086,CNK-李让RanG,30300000,4217,734,2535
20180215,23:41:18.514755,20180215,23:41:20.655086,MERXIC-ROGER罗杰,29950000,5515,775,2366
20180215,23:41:18.514755,20180215,23:41:20.655086,CNK-覃俊毅,29540000,2400,641,2650
20180215,23:41:18.514755,20180215,23:41:20.655086,陈义夫Solo,28240000,1875,1016,2535
20180215,23:41:18.514755,20180215,23:41:20.655086,梁辉LIANGHUI,28170000,3592,2126,2246
20180215,23:41:18.514755,20180215,23:41:20.655086,王宥辰KiY,26650000,2207,712,2374
20180215,23:41:18.514755,20180215,23:41:20.655086,BBT李志杰,26160000,4146,2978,1904
20180215,23:41:18.514755,20180215,23:41:20.655086,X-TIME张奕轩,25940000,2512,761,2267
20180215,23:41:18.514755,20180215,23:41:20.655086,Pb明鹏,25470000,2290,952,2223
20180215,23:41:18.514755,20180215,23:41:20.655086,张艺凡YiF1111,25330000,1290,349,2370
20180215,23:41:18.514755,20180215,23:41:20.655086,CNK-娄滋博BOi,24660000,3215,681,2077
20180215,23:41:18.514755,20180215,23:41:20.655086,陈名豪M,24370000,3404,1682,1929
20180215,23:41:18.514755,20180215,23:41:20.655086,BBT孙浩然,24090000,5125,1546,1742
20180215,23:41:18.514755,20180215,23:41:20.655086,CATCHERS_万宇贤,23680000,1412,497,2178
20180215,23:41:18.514755,20180215,23:41:20.655086,CATCHERS_赵俞澈,23160000,2128,878,2016
20180215,23:41:18.514755,20180215,23:41:20.655086,吕晨瑜_LCY,21300000,2304,1106,1789
20180215,23:41:18.514755,20180215,23:41:20.655086,Trainee18-高茂桐,21010000,2217,351,1845
20180215,23:41:18.514755,20180215,23:41:20.655086,杨羿Terry,18030000,3736,2629,1167
20180215,23:41:18.514755,20180215,23:41:20.655086,BBT林浩楷,17400000,1709,181,1551
20180215,23:41:18.514755,20180215,23:41:20.655086,BBT金逸涵,16150000,1408,295,1445
20180215,23:41:18.514755,20180215,23:41:20.655086,哇噻Rapen,16090000,1464,343,1429
20180215,23:41:18.514755,20180215,23:41:20.655086,孙凡杰_FJ,15020000,4612,3936,648
20180215,23:41:18.514755,20180215,23:41:20.655086,圣恩XII,15000000,2199,509,1230
20180215,23:41:18.514755,20180215,23:41:20.655086,朱一文同學,14910000,1117,389,1341
20180215,23:41:18.514755,20180215,23:41:20.655086,Trainee18-贝汯璘Air,14840000,8275,111,646
20180215,23:41:18.514755,20180215,23:41:20.655086,X-TIME凌崎,12760000,1680,325,1076
20180215,23:41:18.514755,20180215,23:41:20.655086,周腾阳,12420000,685,233,1151
20180215,23:41:18.514755,20180215,23:41:20.655086,MERXIC-PURO何嘉庚,12280000,1816,1279,919
20180215,23:41:18.514755,20180215,23:41:20.655086,GIGEL是谁,11540000,1576,291,968
