start_date,start_time,finish_date,finish_time,name,likehood,mentioned,interaction,cheer_card
20180216,03:52:39.800498,20180216,03:52:41.737694,蔡徐坤,22499000,1565387,430474,2050275
20180216,03:52:39.800498,20180216,03:52:41.737694,jjjustin0219,8148000,547488,231254,736894
20180216,03:52:39.800498,20180216,03:52:41.737694,超级農農,7010000,386051,128038,649571
20180216,03:52:39.800498,20180216,03:52:41.737694,Adam0616,4519000,333857,82293,410263
20180216,03:52:39.800498,20180216,03:52:41.737694,Zzt-朱正廷,4509000,327363,93130,408849
20180216,03:52:39.800498,20180216,03:52:41.737694,小鬼-王琳凯,1799000,112569,22149,166383
20180216,03:52:39.800498,20180216,03:52:41.737694,卜凡KATTO,1696000,97587,28221,156987
20180216,03:52:39.800498,20180216,03:52:41.737694,灵超DIDI,1681000,140825,39201,150131
20180216,03:52:39.800498,20180216,03:52:41.737694,木子洋KWIN,1594000,195821,49476,134848
20180216,03:52:39.800498,20180216,03:52:41.737694,岳岳PINKRAY,1585000,194694,45994,134469
20180216,03:52:39.800498,20180216,03:52:41.737694,韩沐伯,1577000,101197,52250,142328
20180216,03:52:39.800498,20180216,03:52:41.737694,BBT王子异,865000,101847,11576,75193
20180216,03:52:39.800498,20180216,03:52:41.737694,李希侃_LXK,605000,54642,22882,52778
20180216,03:52:39.800498,20180216,03:52:41.737694,钱正昊,551000,32611,10280,50820
20180216,03:52:39.800498,20180216,03:52:41.737694,Jeffrey董又霖,458000,23425,5063,42992
20180216,03:52:39.800498,20180216,03:52:41.737694,郑锐彬_,449000,29247,5339,41405
20180216,03:52:39.800498,20180216,03:52:41.737694,Trainee18-尤长靖,437000,24495,3085,40977
20180216,03:52:39.800498,20180216,03:52:41.737694,Lee权哲,423000,32234,8163,38239
20180216,03:52:39.800498,20180216,03:52:41.737694,Trainee18-林彦俊,401000,36344,14857,35028
20180216,03:52:39.800498,20180216,03:52:41.737694,Trainee18-林超泽,375000,26111,13737,33541
20180216,03:52:39.800498,20180216,03:52:41.737694,Bin于斌,327000,57891,16434,25297
20180216,03:52:39.800498,20180216,03:52:41.737694,史迪奇他哥何东东,320000,17210,2993,30008
20180216,03:52:39.800498,20180216,03:52:41.737694,朱星杰J_zen,257000,19067,4145,23385
20180216,03:52:39.800498,20180216,03:52:41.737694,秦奋Roi,238000,20324,4551,21304
20180216,03:52:39.800498,20180216,03:52:41.737694,周彦辰,232000,20209,10310,20172
20180216,03:52:39.800498,20180216,03:52:41.737694,Dzr_丁泽仁,205000,25841,8137,17071
20180216,03:52:39.800498,20180216,03:52:41.737694,Biiiii毕雯珺,181000,19704,5377,15578
20180216,03:52:39.800498,20180216,03:52:41.737694,李长庚是我呀,167000,13200,4527,14931
20180216,03:52:39.800498,20180216,03:52:41.737694,COSMOS-陈斯琪,144000,8174,2567,13282
20180216,03:52:39.800498,20180216,03:52:41.737694,罗正_LZ,139000,22435,6132,11012
20180216,03:52:39.800498,20180216,03:52:41.737694,胡致邦Jack,134000,13081,5128,11606
20180216,03:52:39.800498,20180216,03:52:41.737694,MLody姜达赫,127000,11389,6184,10922
20180216,03:52:39.800498,20180216,03:52:41.737694,伽里Curry,124000,4885,58,11952
20180216,03:52:39.800498,20180216,03:52:41.737694,董岩磊,116000,14480,2312,9882
20180216,03:52:39.800498,20180216,03:52:41.737694,许凯皓lockingjack,107000,7362,2431,9689
20180216,03:52:39.800498,20180216,03:52:41.737694,MONKEY_OFFICIAL,92240000,11183,4332,7673
20180216,03:52:39.800498,20180216,03:52:41.737694,COSMOS-徐鹤尼,83910000,5804,2410,7570
20180216,03:52:39.800498,20180216,03:52:41.737694,杨非同Nemo,77320000,5581,1067,7068
20180216,03:52:39.800498,20180216,03:52:41.737694,Trainee18-姜京佐,73900000,11337,3947,5862
20180216,03:52:39.800498,20180216,03:52:41.737694,韩雍杰辅导员,72540000,9301,4001,5924
20180216,03:52:39.800498,20180216,03:52:41.737694,周锐Zee,71580000,6032,1008,6454
20180216,03:52:39.800498,20180216,03:52:41.737694,左叶Hyman,68170000,5887,2121,6017
20180216,03:52:39.800498,20180216,03:52:41.737694,靖佩瑶,67760000,5006,1134,6162
