start_date,start_time,finish_date,finish_time,name,gift,vip_gift
20180216,04:18:10.891595,20180216,04:18:12.223202,张昕,111549,994
20180216,04:18:10.891595,20180216,04:18:12.223202,张晏恺,3681,1774
20180216,04:18:10.891595,20180216,04:18:12.223202,张奕轩,118443,2337
20180216,04:18:10.891595,20180216,04:18:12.223202,张宇晨,2117,558
20180216,04:18:10.891595,20180216,04:18:12.223202,赵俞澈,2901,1309
20180216,04:18:10.891595,20180216,04:18:12.223202,郑锐彬,130640,27270
20180216,04:18:10.891595,20180216,04:18:12.223202,周锐,24201,11555
20180216,04:18:10.891595,20180216,04:18:12.223202,周腾阳,1475,691
20180216,04:18:10.891595,20180216,04:18:12.223202,周彦辰,42722,16702
20180216,04:18:10.891595,20180216,04:18:12.223202,朱星杰,45066,23860
20180216,04:18:10.891595,20180216,04:18:12.223202,朱一文,2501,872
20180216,04:18:10.891595,20180216,04:18:12.223202,朱匀天,5411,2378
20180216,04:18:10.891595,20180216,04:18:12.223202,朱匀一,5627,2477
20180216,04:18:10.891595,20180216,04:18:12.223202,朱正廷,626091,250029
20180216,04:18:10.891595,20180216,04:18:12.223202,左叶,33311,17412
20180216,04:24:45.249873,20180216,04:24:46.058402,贝汯璘,9761,3657
20180216,04:24:45.249873,20180216,04:24:46.058402,毕雯珺,98985,42580
20180216,04:24:45.249873,20180216,04:24:46.058402,卜凡,296018,123076
20180216,04:24:45.249873,20180216,04:24:46.058402,蔡徐坤,1830406,881487
20180216,04:24:45.249873,20180216,04:24:46.058402,陈立农,638889,269387
20180216,04:24:45.249873,20180216,04:24:46.058402,陈名豪,6234,2198
20180216,04:24:45.249873,20180216,04:24:46.058402,陈斯琪,12561,6018
20180216,04:24:45.249873,20180216,04:24:46.058402,陈义夫,3809,1820
20180216,04:24:45.249873,20180216,04:24:46.058402,邓烺怡,5507,2378
20180216,04:24:45.249873,20180216,04:24:46.058402,丁泽仁,114532,43636
20180216,04:24:45.249873,20180216,04:24:46.058402,董岩磊,24361,11972
20180216,04:24:45.249873,20180216,04:24:46.058402,范丞丞,544407,237636
20180216,04:24:45.249873,20180216,04:24:46.058402,甘俊,2726,1261
20180216,04:24:45.249873,20180216,04:24:46.058402,高茂桐,5946,2621
20180216,04:24:45.249873,20180216,04:24:46.058402,GIGEL,5830,2396
20180216,04:24:45.249873,20180216,04:24:46.058402,韩沐伯,312344,46540
20180216,04:24:45.249873,20180216,04:24:46.058402,韩雍杰,16086,5819
20180216,04:24:45.249873,20180216,04:24:46.058402,何东东,55333,26743
20180216,04:24:45.249873,20180216,04:24:46.058402,何嘉庚,2278,740
20180216,04:24:45.249873,20180216,04:24:46.058402,Hook于浩,1089,484
20180216,04:24:45.249873,20180216,04:24:46.058402,侯浩然,1796,844
20180216,04:24:45.249873,20180216,04:24:46.058402,胡致邦,18144,6625
20180216,04:24:45.249873,20180216,04:24:46.058402,黄若涵,1816,517
20180216,04:24:45.249873,20180216,04:24:46.058402,黄书豪,19847,6946
20180216,04:24:45.249873,20180216,04:24:46.058402,黄新淳,75440,32675
20180216,04:24:45.249873,20180216,04:24:46.058402,Jeffrey,111786,25701
20180216,04:24:45.249873,20180216,04:24:46.058402,伽里,4123,1178
20180216,04:24:45.249873,20180216,04:24:46.058402,姜达赫,2046,968
20180216,04:24:45.249873,20180216,04:24:46.058402,姜京佐,13434,4602
20180216,04:24:45.249873,20180216,04:24:46.058402,金逸涵,4167,2034
20180216,04:24:45.249873,20180216,04:24:46.058402,靖佩瑶,21054,7250
20180216,04:24:45.249873,20180216,04:24:46.058402,J-ONE,1295,482
20180216,04:24:45.249873,20180216,04:24:46.058402,Justin,719037,289871
20180216,04:24:45.249873,20180216,04:24:46.058402,李长庚,44619,8109
20180216,04:24:45.249873,20180216,04:24:46.058402,李俊毅,10318,5468
20180216,04:24:45.249873,20180216,04:24:46.058402,李权哲,144507,61508
20180216,04:24:45.249873,20180216,04:24:46.058402,李让,5602,2617
20180216,04:24:45.249873,20180216,04:24:46.058402,李若天,9633,4267
20180216,04:24:45.249873,20180216,04:24:46.058402,李希侃,85727,30350
20180216,04:24:45.249873,20180216,04:24:46.058402,李鑫岩,3129,911
20180216,04:24:45.249873,20180216,04:24:46.058402,李志杰,1889,926
20180216,04:24:45.249873,20180216,04:24:46.058402,梁辉,6626,2341
20180216,04:24:45.249873,20180216,04:24:46.058402,林超泽,46832,22973
20180216,04:24:45.249873,20180216,04:24:46.058402,林浩楷,2664,1153
